Episode,Reward
1,-2
2,-25.0
3,-14.0
4,-10.39999999999999
5,-3.500000000000001
6,-0.5
7,-4.4
8,-2.400000000000001
9,-2.1
10,-2.2
11,-4.999999999999998
12,-3.9000000000000004
13,-4.500000000000001
14,-0.1
15,-2
16,-4.899999999999999
17,-2.6
18,-5.200000000000001
19,-5.600000000000001
20,-7.1
21,-5.1999999999999975
22,-2
23,-5.299999999999997
24,-2.8
25,-3.200000000000001
26,-4.4
27,-2.400000000000001
28,-4.200000000000001
29,-3.0
30,-3.4000000000000004
31,-4.700000000000001
32,0
33,-2.8
34,0
35,-4.4
36,-2.4
37,0
38,-2.2
39,-4.999999999999998
40,-2
41,0
42,-5.1
43,-2
44,-4.799999999999999
45,-4.799999999999999
46,-4.6
47,-2
48,-4.300000000000001
49,-4.999999999999998
50,-5.1999999999999975
51,-4.4
52,-2
53,-4.9
54,-4.5
55,-4.300000000000001
56,-6.300000000000001
57,-4.1000000000000005
58,-4.600000000000001
59,-0.7
60,-4.999999999999998
61,-4.6
62,0
63,-2.700000000000001
64,-2
65,-5.1999999999999975
66,-4.999999999999998
67,-4.200000000000001
68,-0.6
69,-4.999999999999998
70,-2.8
71,0
72,-0.5
73,-2
74,-5.199999999999999
75,-6.4
76,-4.799999999999999
77,-1.1
78,-2
79,-4.4
80,-0.5
81,0
82,-4.899999999999999
83,-4.999999999999998
84,-2.1
85,-5.200000000000001
86,-4.200000000000001
87,-4.899999999999999
88,-4.8999999999999995
89,-5.399999999999997
90,-4.300000000000001
91,0
92,0
93,-2
94,-3.5000000000000013
95,0
96,0
97,0
98,0
99,-3.3000000000000016
100,0
